Unit,,g,kg CO2 eq,kg CFC11 eq,kBq U-235 eq,kg NMVOC eq,disease inc.,CTUh,CTUh,mol H+ eq,kg P eq,kg N eq,mol N eq,CTUe,Pt,m3 depriv.,MJ,kg Sb eq,mPt,,,,mPt,kg CO2 eq
Food item in AGB 3.1 (SimaPro name),Food item in AGB 3.1 (short name),Serving size (g),Climate change per kg,Ozone depletion,Ionising radiation,Photochemical ozone formation,Particulate matter,"Human toxicity, non-cancer","Human toxicity, cancer",Acidification,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Ecotoxicity, freshwater",Land use,Water use,"Resource use, fossils","Resource use, minerals and metals",Single score per kg,CIQUAL code,Food group,Food sub group,Single score per serving,Climate change per serving
"Mineral sparkling water (Vernet), bottled, lightly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Vernet), bottled, lightly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76054,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Verniere), bottled, averagely mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Vernière), bottled, averagely mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76024,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Vichy Celestins), bottled, strongly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Vichy Célestins), bottled, strongly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76055,beverages,water,0.008254735,0.057903434
"Mineral sparkling water (Volvic active), bottled, lightly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral sparkling water (Volvic active), bottled, lightly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76058,beverages,water,0.008254735,0.057903434
"Mineral still water (Abatilles), bottled, lightly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral still water (Abatilles), bottled, lightly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76000,beverages,water,0.008254735,0.057903434
"Mineral still water (Aix-les-Bains), bottled, lightly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral still water (Aix-les-Bains), bottled, lightly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76001,beverages,water,0.008254735,0.057903434
"Mineral still water (Amanda), bottled, strongly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral still water (Amanda), bottled, strongly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76004,beverages,water,0.008254735,0.057903434
"Mineral still water (Appollinaris), bottled, strongly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral still water (Appollinaris), bottled, strongly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76079,beverages,water,0.008254735,0.057903434
"Mineral still water (Avra), bottled, lightly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral still water (Avra), bottled, lightly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76062,beverages,water,0.008254735,0.057903434
"Mineral still water (Beckerich), bottled, lightly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral still water (Beckerich), bottled, lightly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76063,beverages,water,0.008254735,0.057903434
